Date,Brand,Title,price_full,price_soft,priceoff,Rating,Review Count
17/08/2024,L'Oréal Paris,Revitalift Laser X3 Cicatri Correct FPS25 - Creme Facial Redutor de Linhas 30ml,"90,90","62,90",31,"47,00",117
17/08/2024,L'Oréal Paris,Revitalift Hialurônico Diurno FPS 20 - Creme Facial Redutor de Linhas 49g,"96,39","49,13",49,"48,00",163
17/08/2024,L'Oréal Paris,Revitalift Laser X3 Diurno - Creme Facial Redutor de Linhas 50ml,"117,90","88,90",25,"48,00",142
17/08/2024,NIVEA,Antissinais - Creme Facial 100g,"42,28","27,00",36,"48,00",38
17/08/2024,NIVEA,Q10 Antissinais Power Noite - Creme Facial 49g,"57,90","50,90",12,"47,00",21
17/08/2024,NIVEA,Noturno - Creme Facial 100g,"34,90","30,90",11,"48,00",29
17/08/2024,L'Oréal Paris,Revitalift Pro-Retinol Noturno - Creme Facial Redutor de Linhas 49g,"81,90","73,90",10,"48,00",61
17/08/2024,NIVEA,Q10 Energy Dia FPS 15 - Creme Facial Antissinais 50g,"65,90","44,50",32,"46,00",9
17/08/2024,NIVEA,Q10 Power Dia FPS 30 Pele Mista a Oleosa - Creme Facial Antissinais 50g,"57,90","50,90",12,"49,00",18
17/08/2024,ISDIN,ISDINCEUTICS Glicoisdin 8 Soft Efeito Peeling - Creme Facial 50g,"288,90","273,90",5,"49,00",14
17/08/2024,L'Oréal Paris,Revitalift Pro-Retinol Diurno FPS 30 - Creme Facial Redutor de Linhas 49g,"67,61","62,99",7,"45,00",27
17/08/2024,Lees Skincare,Iluminador - Creme Facial Noturno 50g,"240,00","216,00",10,"50,00",2
17/08/2024,L'Oréal Paris,Revitalift Pro Retinol FPS20 - Creme Facial Antissinais 49g,"95,90","79,90",17,"43,00",3
17/08/2024,Hada Labo,Gokujyun Aging Care Milk - Creme Facial Redutor de Linhas 140ml,"138,90","131,90",5,"49,00",15
17/08/2024,NIVEA,Cellular Expert Filler Noite - Creme Facial Antissinais 49g,"67,54","67,49",0,"49,00",7
17/08/2024,Eucerin,Anti-Pigment Noturno - Creme Facial 50ml,"259,90","234,90",10,"43,00",41
17/08/2024,Hidramais,UVA/UVB - Creme Facial Renovador 100g,"29,90","24,90",17,"50,00",1
17/08/2024,NIVEA,Q10 Power Dia FPS 30 - Creme Facial Antissinais 50g,"46,49","44,99",3,"50,00",4
17/08/2024,Avène,RetrinAL - Creme Facial Redutor de Linhas 30ml,"342,23","340,89",0,"44,00",7
17/08/2024,Abelha Rainha,Clear Pele FPS70 - Creme Facial Uniformizador 30g,"34,99","29,99",14,"50,00",2
17/08/2024,Ekilibre Amazônia,Frutas da Amazônia - Creme Facial Noturno 30g,"65,00","45,50",30,"0,00",0
17/08/2024,Reelift,Clear Clarifier - Creme Facial Uniformizante 30g,"169,00","129,00",24,"50,00",1
17/08/2024,Peel Line,Cream Liftbooster - Creme Facial 45g,"202,15","89,00",56,"0,00",0
17/08/2024,Eucerin,DermoPure Oil Control Ação Renovadora - Creme Facial 40ml,"109,90","99,90",9,"50,00",2
17/08/2024,Peel Line,Balm Redensificador - Creme Facial 30ml,"127,92","69,90",45,"0,00",0
17/08/2024,La Roche-Posay,Hyalu B5 Aquagel FPS 30 - Creme Facial 50ml,"269,90","241,90",10,"50,00",2
17/08/2024,Ulric de Varens,Ulric De Varens Bio Vitaminado Varens Beaute Paris - Creme Facial 40ml,"105,90","52,90",50,"0,00",0
17/08/2024,Capim Clinical,Vitamina C - Creme Facial 40g,"36,99","28,99",22,"40,00",1
17/08/2024,Abelha Rainha,Clear Pele FPS70 - Creme Facial Uniformizador 30g,"34,99","29,99",14,"50,00",2
17/08/2024,Pink Cheeks,After! - Creme Facial Pós-Treino 30g,"119,90","95,90",20,"0,00",0
17/08/2024,La Roche-Posay,Hyalu B5 Aquagel FPS 30 - Creme Facial 50ml,"269,90","241,90",10,"50,00",2
17/08/2024,Capim Clinical,Vitamina C - Creme Facial 40g,"36,99","28,99",22,"40,00",1
17/08/2024,NIVEA,CREME FACIAL PELE NEGRA 100G - QUERIDINHO HIDR FACIAL,"44,82","41,59",7,"0,00",0
17/08/2024,Ulric de Varens,Ulric De Varens Bio Revitalizante Varens Beaute Paris - Creme Facial 40ml,"105,90","50,90",52,"0,00",0
17/08/2024,Ulric de Varens,Ulric De Varens Bio Hidratante Varens Beaute Paris - Creme Facial 40ml,"105,90","52,90",50,"0,00",0
17/08/2024,Cicatricure,Porcelana Antimarcas - Gel Creme Facial 50g,"124,57","68,32",45,"0,00",0
17/08/2024,Natupele,Melanesse Manutenção - Creme Facial Uniformizante 15g,"836,10","760,09",9,"0,00",0
17/08/2024,Max Love,Creme Facial Renovação Esfoliante - Creme hidratante 50g,"20,48","15,48",24,"40,00",1
17/08/2024,Intua,Beauty Nutritivo - Creme Facial Anti-Idade 50g,"189,00","129,00",32,"0,00",0
17/08/2024,Cosmobeauty,Creme Facial Antiox C Clinic Vitamina C 35% 30g - Normal,"279,99","267,00",5,"0,00",0
17/08/2024,Cosmobeauty,Collagen Care - Creme Facial 30g,"489,50","342,65",30,"0,00",0
17/08/2024,Helene Deon,Creme Facial Antisinais Antirugas 30g Helene Deon,"119,90","109,90",8,"0,00",0
17/08/2024,Natupele,Melanesse Manutenção - Creme Facial Uniformizante 30g,"1029,17","935,61",9,"0,00",0
17/08/2024,Cosmobeauty,Creme Facial Antiox C Clinic Vitamina C 35% 30g - Normal,"279,99","267,00",5,"0,00",0
17/08/2024,Capim Clinical,Ácido Hialurônico - Creme Facial 40g,"36,99","28,99",22,"0,00",0
17/08/2024,Capim Clinical,Antissinais FPS 60 - Creme Facial 40g,"95,99","78,99",18,"0,00",0
17/08/2024,Aromá,Creme Facial Prevenção de Sinais Pracaxi & Jambú 50g,"89,00","59,99",33,"0,00",0
17/08/2024,Labotrat,Creme Facial Gel Clareador - 30g,"57,99","48,49",16,"0,00",0
17/08/2024,Bio Soft,Tratamento P/ Mancha Creme Facial + Esfoliante Corpo E Rosto,"76,99","69,99",9,"0,00",0
17/08/2024,Helene Deon,Creme Facial Antiacne Controle Oleosidade 45g  Helene Deon,"89,90","84,90",6,"0,00",0
17/08/2024,Capim Clinical,Clareador 3 em 1 FPS 60 - Creme Facial 40g,"95,99","78,99",18,"0,00",0
17/08/2024,Capim Clinical,Clareador Colágeno - Creme Facial 40g,"36,99","28,99",22,"0,00",0
17/08/2024,Capim Clinical,Rosa Mosqueta - Creme Facial 40g,"36,99","28,99",22,"0,00",0
17/08/2024,Fina Cut's,Power Peeling - Creme Facial Noturno 30ml,"179,90","119,90",33,"0,00",0
17/08/2024,Cosmobeauty,Creme Facial Clareador Mellan Clear Anti Melasma 30g,"590,90","290,90",51,"0,00",0
17/08/2024,Capim Clinical,Colágeno Firmador FPS 60 - Creme Facial 40g,"95,99","78,99",18,"0,00",0
17/08/2024,Benton,Snail Bee High Content Steam Cream - Creme Hidratante Facial 50g,"249,90","148,90",40,"45,00",8
17/08/2024,NIVEA,Creme Nutritivo - Hidratante Facial 100g,"34,90","30,90",11,"46,00",47
