Date,Brand,Title,Image
17/08/2024,L'Oréal Paris,Revitalift Laser X3 Diurno - Creme Facial Redutor de Linhas 50ml,"https://res.cloudinary.com/beleza-na-web/image/upload/w_1500,f_auto,fl_progressive,q_auto:eco,w_210,h_210/v1/imagens/product/30204/9f1016a9-87af-4bb1-a066-19b43406faf4-loreal-paris-revitalift-laser-x3-diurno-creme-facial-antiidade-50ml.png"
17/08/2024,NIVEA,Antissinais - Creme Facial 100g,"https://res.cloudinary.com/beleza-na-web/image/upload/w_1500,f_auto,fl_progressive,q_auto:eco,w_210,h_210/v1/imagens/product/75386/c3d73c0d-cd7d-48e8-8c05-71215ce6273f-nivea-antissinais-creme-facial-100g.png"
17/08/2024,NIVEA,Q10 Power Dia FPS 30 Pele Mista a Oleosa - Creme Facial Antissinais 50g,"https://res.cloudinary.com/beleza-na-web/image/upload/w_1500,f_auto,fl_progressive,q_auto:eco,w_210,h_210/v1/imagens/product/75393/1cf6ae95-184f-4e06-9a60-a25d5514d982-nivea-q10-plus-dia-pele-mista-a-oleosa-fps30-creme-antiidade-50g.png"
17/08/2024,L'Oréal Paris,Revitalift Hialurônico Diurno FPS 20 - Creme Facial Redutor de Linhas 49g,"https://res.cloudinary.com/beleza-na-web/image/upload/w_1500,f_auto,fl_progressive,q_auto:eco,w_210,h_210/v1/imagens/products/68395/68395_a.png"
17/08/2024,Vichy,Neovadiol Menopausa Lifting - Creme Facial 50g,"https://res.cloudinary.com/beleza-na-web/image/upload/w_1500,f_auto,fl_progressive,q_auto:eco,w_210,h_210/v1/imagens/product/20048627/5a384510-9386-45c6-a168-4e8814c65639-vichy-neovadiol-menopausa-lifting-creme-facial-50g.png"
17/08/2024,Lees Skincare,Iluminador - Creme Facial Noturno 50g,"https://res.cloudinary.com/beleza-na-web/image/upload/w_1500,f_auto,fl_progressive,q_auto:eco,w_210,h_210/v1/imagens/products/MP21462/MP21462_a.png"
17/08/2024,Hada Labo,Gokujyun Aging Care Milk - Creme Facial Redutor de Linhas 140ml,"https://res.cloudinary.com/beleza-na-web/image/upload/w_1500,f_auto,fl_progressive,q_auto:eco,w_210,h_210/v1/imagens/product/20051564/7395bc21-4d33-46d0-a7a6-f2899375de30-20051564-hada-labo-gokujyun-ag-care-hid-fac-140ml.png"
17/08/2024,L'Oréal Paris,Revitalift Pro-Retinol Noturno - Creme Facial Redutor de Linhas 49g,"https://res.cloudinary.com/beleza-na-web/image/upload/w_1500,f_auto,fl_progressive,q_auto:eco,w_210,h_210/v1/imagens/product/30192/b65cb130-299f-4c33-93b9-404ac6062569-loreal-paris-revitalift-proretinol-noturno-creme-facial-redutor-de-linhas-49g.png"
17/08/2024,NIVEA,Noturno - Creme Facial 100g,"https://res.cloudinary.com/beleza-na-web/image/upload/w_1500,f_auto,fl_progressive,q_auto:eco,w_210,h_210/v1/imagens/product/75453/ecc79076-bad1-46e8-93e4-c2633663611d-nivea-noturno-creme-facial-100g.png"
17/08/2024,L'Oréal Paris,Revitalift Hialurônico Cuidado Noturno - Creme Facial Redutor de Linhas 49g,"https://res.cloudinary.com/beleza-na-web/image/upload/w_1500,f_auto,fl_progressive,q_auto:eco,w_210,h_210/v1/imagens/products/68394/68394.png"
17/08/2024,Hidramais,UVA/UVB - Creme Facial Renovador 100g,"https://res.cloudinary.com/beleza-na-web/image/upload/w_1500,f_auto,fl_progressive,q_auto:eco,w_210,h_210/v1/imagens/product/20053881/62225b7e-ee9c-4d79-b42c-d182b108e7cd-hidramais-uvauvb-creme-facial-renovador-100g.png"
17/08/2024,L'Oréal Paris,Revitalift Pro-Retinol Diurno FPS 30 - Creme Facial Redutor de Linhas 49g,"https://res.cloudinary.com/beleza-na-web/image/upload/w_1500,f_auto,fl_progressive,q_auto:eco,w_210,h_210/v1/imagens/product/30191/c4b6c892-0aa8-4a10-9674-cc173f53501a-loreal-paris-revitalift-diurno-fps18-creme-facial-redutor-de-linhas-49g.png"
17/08/2024,ISDIN,ISDINCEUTICS Glicoisdin 8 Soft Efeito Peeling - Creme Facial 50g,"https://res.cloudinary.com/beleza-na-web/image/upload/w_1500,f_auto,fl_progressive,q_auto:eco,w_210,h_210/v1/imagens/product/85094/4e7d39e2-b37f-498b-9424-28e4a2dcfd82-isdin-isdinceutics-glicoisdin-8-soft-efeito-peeling-creme-facial-50g.png"
17/08/2024,NIVEA,Cellular Expert Lift Noite - Creme Facial Antissinais 50ml,"https://res.cloudinary.com/beleza-na-web/image/upload/w_1500,f_auto,fl_progressive,q_auto:eco,w_210,h_210/v1/imagens/product/20049473/3ff8d3cc-c8b8-4dd0-9dde-a441a03f8454-20049473-nivea-facial-c-exp-lift-ava-noturno-50ml.png"
17/08/2024,Abelha Rainha,Renovil Efeito Cinderela - Creme Facial 15g,"https://res.cloudinary.com/beleza-na-web/image/upload/w_1500,f_auto,fl_progressive,q_auto:eco,w_210,h_210/v1/imagens/product/MP100379/569d1af3-6679-4ec4-88c1-08990d8c7ec0-abelha-rainha-renovil-efeito-cinderela-creme-facial-15g.png"
17/08/2024,L'Oréal Paris,Revitalift Pro Retinol FPS20 - Creme Facial Antissinais 49g,"https://res.cloudinary.com/beleza-na-web/image/upload/w_1500,f_auto,fl_progressive,q_auto:eco,w_210,h_210/v1/imagens/product/20056722/34ed1a1f-8243-45e5-a705-fe6aae329e05-loreal-paris-revitalift-pro-retinol-fps20-creme-facial-antissinais-49g.png"
17/08/2024,Fisiogel,A.I. Ação Calmante FPS 20 - Creme Facial 40ml,"https://res.cloudinary.com/beleza-na-web/image/upload/w_1500,f_auto,fl_progressive,q_auto:eco,w_210,h_210/v1/imagens/product/94109/f61eec7e-95ca-4cbd-a08b-56523c0a8230-fisiogel-ai-acao-calmante-fps-20-creme-facial-40ml.png"
17/08/2024,o Boticário,Botik Ácido Hialurônico - Creme Facial Firmador 40g,"https://res.cloudinary.com/beleza-na-web/image/upload/w_1500,f_auto,fl_progressive,q_auto:eco,w_210,h_210/v1/imagens/products/B04539/BOTIK_CREME_FAC_FIRM_AC_HIAL_40g_B04539.jpg"
